"member_casual","date","hour","day_of_week","day","month","year","count"
"casual","2021-12-07",0,"Wednesday",7,12,2021,10
"casual","2021-12-07",1,"Wednesday",7,12,2021,11
"casual","2021-12-07",2,"Wednesday",7,12,2021,4
"casual","2021-12-07",3,"Wednesday",7,12,2021,2
"casual","2021-12-07",4,"Wednesday",7,12,2021,10
"casual","2021-12-07",5,"Wednesday",7,12,2021,11
"casual","2021-12-07",6,"Wednesday",7,12,2021,25
"casual","2021-12-07",7,"Wednesday",7,12,2021,59
"casual","2021-12-07",8,"Wednesday",7,12,2021,71
"casual","2021-12-07",9,"Wednesday",7,12,2021,68
"casual","2021-12-07",10,"Wednesday",7,12,2021,50
"casual","2021-12-07",11,"Wednesday",7,12,2021,43
"casual","2021-12-07",12,"Wednesday",7,12,2021,75
"casual","2021-12-07",13,"Wednesday",7,12,2021,70
"casual","2021-12-07",14,"Wednesday",7,12,2021,77
"casual","2021-12-07",15,"Wednesday",7,12,2021,92
"casual","2021-12-07",16,"Wednesday",7,12,2021,136
"casual","2021-12-07",17,"Wednesday",7,12,2021,131
"casual","2021-12-07",18,"Wednesday",7,12,2021,100
"casual","2021-12-07",19,"Wednesday",7,12,2021,86
"casual","2021-12-07",20,"Wednesday",7,12,2021,58
"casual","2021-12-07",21,"Wednesday",7,12,2021,44
"casual","2021-12-07",22,"Wednesday",7,12,2021,48
"casual","2021-12-07",23,"Wednesday",7,12,2021,29
"casual","2021-12-08",0,"Thursday",8,12,2021,16
"casual","2021-12-08",1,"Thursday",8,12,2021,8
"casual","2021-12-08",2,"Thursday",8,12,2021,4
"casual","2021-12-08",3,"Thursday",8,12,2021,5
"casual","2021-12-08",4,"Thursday",8,12,2021,7
"casual","2021-12-08",5,"Thursday",8,12,2021,20
"casual","2021-12-08",6,"Thursday",8,12,2021,35
"casual","2021-12-08",7,"Thursday",8,12,2021,75
"casual","2021-12-08",8,"Thursday",8,12,2021,91
"casual","2021-12-08",9,"Thursday",8,12,2021,59
"casual","2021-12-08",10,"Thursday",8,12,2021,73
"casual","2021-12-08",11,"Thursday",8,12,2021,91
"casual","2021-12-08",12,"Thursday",8,12,2021,115
"casual","2021-12-08",13,"Thursday",8,12,2021,135
"casual","2021-12-08",14,"Thursday",8,12,2021,136
"casual","2021-12-08",15,"Thursday",8,12,2021,126
"casual","2021-12-08",16,"Thursday",8,12,2021,164
"casual","2021-12-08",17,"Thursday",8,12,2021,175
"casual","2021-12-08",18,"Thursday",8,12,2021,170
"casual","2021-12-08",19,"Thursday",8,12,2021,121
"casual","2021-12-08",20,"Thursday",8,12,2021,83
"casual","2021-12-08",21,"Thursday",8,12,2021,84
"casual","2021-12-08",22,"Thursday",8,12,2021,76
"casual","2021-12-08",23,"Thursday",8,12,2021,49
"casual","2021-12-09",0,"Friday",9,12,2021,27
"casual","2021-12-09",1,"Friday",9,12,2021,13
"casual","2021-12-09",2,"Friday",9,12,2021,11
"casual","2021-12-09",3,"Friday",9,12,2021,8
"casual","2021-12-09",4,"Friday",9,12,2021,5
"casual","2021-12-09",5,"Friday",9,12,2021,17
"casual","2021-12-09",6,"Friday",9,12,2021,43
"casual","2021-12-09",7,"Friday",9,12,2021,78
"casual","2021-12-09",8,"Friday",9,12,2021,108
"casual","2021-12-09",9,"Friday",9,12,2021,84
"casual","2021-12-09",10,"Friday",9,12,2021,91
"casual","2021-12-09",11,"Friday",9,12,2021,87
"casual","2021-12-09",12,"Friday",9,12,2021,142
"casual","2021-12-09",13,"Friday",9,12,2021,136
"casual","2021-12-09",14,"Friday",9,12,2021,158
"casual","2021-12-09",15,"Friday",9,12,2021,164
"casual","2021-12-09",16,"Friday",9,12,2021,231
"casual","2021-12-09",17,"Friday",9,12,2021,266
"casual","2021-12-09",18,"Friday",9,12,2021,244
"casual","2021-12-09",19,"Friday",9,12,2021,177
"casual","2021-12-09",20,"Friday",9,12,2021,126
"casual","2021-12-09",21,"Friday",9,12,2021,117
"casual","2021-12-09",22,"Friday",9,12,2021,131
"casual","2021-12-09",23,"Friday",9,12,2021,117
"casual","2021-12-10",0,"Saturday",10,12,2021,57
"casual","2021-12-10",1,"Saturday",10,12,2021,23
"casual","2021-12-10",2,"Saturday",10,12,2021,22
"casual","2021-12-10",3,"Saturday",10,12,2021,18
"casual","2021-12-10",4,"Saturday",10,12,2021,16
"casual","2021-12-10",5,"Saturday",10,12,2021,17
"casual","2021-12-10",6,"Saturday",10,12,2021,58
"casual","2021-12-10",7,"Saturday",10,12,2021,128
"casual","2021-12-10",8,"Saturday",10,12,2021,135
"casual","2021-12-10",9,"Saturday",10,12,2021,125
"casual","2021-12-10",10,"Saturday",10,12,2021,155
"casual","2021-12-10",11,"Saturday",10,12,2021,181
"casual","2021-12-10",12,"Saturday",10,12,2021,210
"casual","2021-12-10",13,"Saturday",10,12,2021,204
"casual","2021-12-10",14,"Saturday",10,12,2021,177
"casual","2021-12-10",15,"Saturday",10,12,2021,81
"casual","2021-12-10",16,"Saturday",10,12,2021,57
"casual","2021-12-10",17,"Saturday",10,12,2021,92
"casual","2021-12-10",18,"Saturday",10,12,2021,61
"casual","2021-12-10",19,"Saturday",10,12,2021,74
"casual","2021-12-10",20,"Saturday",10,12,2021,58
"casual","2021-12-10",21,"Saturday",10,12,2021,24
"casual","2021-12-10",22,"Saturday",10,12,2021,37
"casual","2021-12-10",23,"Saturday",10,12,2021,94
"casual","2021-12-11",0,"Sunday",11,12,2021,105
"casual","2021-12-11",1,"Sunday",11,12,2021,126
"casual","2021-12-11",2,"Sunday",11,12,2021,84
"casual","2021-12-11",3,"Sunday",11,12,2021,35
"casual","2021-12-11",4,"Sunday",11,12,2021,25
"casual","2021-12-11",5,"Sunday",11,12,2021,16
"casual","2021-12-11",6,"Sunday",11,12,2021,22
"casual","2021-12-11",7,"Sunday",11,12,2021,35
"casual","2021-12-11",8,"Sunday",11,12,2021,53
"casual","2021-12-11",9,"Sunday",11,12,2021,89
"casual","2021-12-11",10,"Sunday",11,12,2021,149
"casual","2021-12-11",11,"Sunday",11,12,2021,186
"casual","2021-12-11",12,"Sunday",11,12,2021,234
"casual","2021-12-11",13,"Sunday",11,12,2021,250
"casual","2021-12-11",14,"Sunday",11,12,2021,227
"casual","2021-12-11",15,"Sunday",11,12,2021,249
"casual","2021-12-11",16,"Sunday",11,12,2021,252
"casual","2021-12-11",17,"Sunday",11,12,2021,199
"casual","2021-12-11",18,"Sunday",11,12,2021,163
"casual","2021-12-11",19,"Sunday",11,12,2021,182
"casual","2021-12-11",20,"Sunday",11,12,2021,85
"casual","2021-12-11",21,"Sunday",11,12,2021,95
"casual","2021-12-11",22,"Sunday",11,12,2021,100
"casual","2021-12-11",23,"Sunday",11,12,2021,101
"casual","2021-12-12",0,"Monday",12,12,2021,149
"casual","2021-12-12",1,"Monday",12,12,2021,77
"casual","2021-12-12",2,"Monday",12,12,2021,64
"casual","2021-12-12",3,"Monday",12,12,2021,35
"casual","2021-12-12",4,"Monday",12,12,2021,30
"casual","2021-12-12",5,"Monday",12,12,2021,19
"casual","2021-12-12",6,"Monday",12,12,2021,30
"casual","2021-12-12",7,"Monday",12,12,2021,29
"casual","2021-12-12",8,"Monday",12,12,2021,49
"casual","2021-12-12",9,"Monday",12,12,2021,99
"casual","2021-12-12",10,"Monday",12,12,2021,161
"casual","2021-12-12",11,"Monday",12,12,2021,244
"casual","2021-12-12",12,"Monday",12,12,2021,283
"casual","2021-12-12",13,"Monday",12,12,2021,283
"casual","2021-12-12",14,"Monday",12,12,2021,336
"casual","2021-12-12",15,"Monday",12,12,2021,353
"casual","2021-12-12",16,"Monday",12,12,2021,260
"casual","2021-12-12",17,"Monday",12,12,2021,160
"casual","2021-12-12",18,"Monday",12,12,2021,108
"casual","2021-12-12",19,"Monday",12,12,2021,111
"casual","2021-12-12",20,"Monday",12,12,2021,74
"casual","2021-12-12",21,"Monday",12,12,2021,53
"casual","2021-12-12",22,"Monday",12,12,2021,77
"casual","2021-12-12",23,"Monday",12,12,2021,61
"casual","2021-12-13",0,"Tuesday",13,12,2021,32
"casual","2021-12-13",1,"Tuesday",13,12,2021,8
"casual","2021-12-13",2,"Tuesday",13,12,2021,14
"casual","2021-12-13",3,"Tuesday",13,12,2021,3
"casual","2021-12-13",4,"Tuesday",13,12,2021,7
"casual","2021-12-13",5,"Tuesday",13,12,2021,28
"casual","2021-12-13",6,"Tuesday",13,12,2021,57
"casual","2021-12-13",7,"Tuesday",13,12,2021,86
"casual","2021-12-13",8,"Tuesday",13,12,2021,101
"casual","2021-12-13",9,"Tuesday",13,12,2021,74
"casual","2021-12-13",10,"Tuesday",13,12,2021,89
"casual","2021-12-13",11,"Tuesday",13,12,2021,125
"casual","2021-12-13",12,"Tuesday",13,12,2021,171
"casual","2021-12-13",13,"Tuesday",13,12,2021,142
"casual","2021-12-13",14,"Tuesday",13,12,2021,181
"casual","2021-12-13",15,"Tuesday",13,12,2021,226
"casual","2021-12-13",16,"Tuesday",13,12,2021,228
"casual","2021-12-13",17,"Tuesday",13,12,2021,236
"casual","2021-12-13",18,"Tuesday",13,12,2021,170
"casual","2021-12-13",19,"Tuesday",13,12,2021,157
"casual","2021-12-13",20,"Tuesday",13,12,2021,105
"casual","2021-12-13",21,"Tuesday",13,12,2021,92
"casual","2021-12-13",22,"Tuesday",13,12,2021,69
"casual","2021-12-13",23,"Tuesday",13,12,2021,40
"casual","2021-12-14",0,"Wednesday",14,12,2021,22
"casual","2021-12-14",1,"Wednesday",14,12,2021,14
"casual","2021-12-14",2,"Wednesday",14,12,2021,12
"casual","2021-12-14",3,"Wednesday",14,12,2021,3
"casual","2021-12-14",4,"Wednesday",14,12,2021,17
"casual","2021-12-14",5,"Wednesday",14,12,2021,33
"casual","2021-12-14",6,"Wednesday",14,12,2021,47
"casual","2021-12-14",7,"Wednesday",14,12,2021,95
"casual","2021-12-14",8,"Wednesday",14,12,2021,142
"casual","2021-12-14",9,"Wednesday",14,12,2021,111
"casual","2021-12-14",10,"Wednesday",14,12,2021,103
"casual","2021-12-14",11,"Wednesday",14,12,2021,133
"casual","2021-12-14",12,"Wednesday",14,12,2021,144
"casual","2021-12-14",13,"Wednesday",14,12,2021,181
"casual","2021-12-14",14,"Wednesday",14,12,2021,181
"casual","2021-12-14",15,"Wednesday",14,12,2021,198
"casual","2021-12-14",16,"Wednesday",14,12,2021,259
"casual","2021-12-14",17,"Wednesday",14,12,2021,280
"casual","2021-12-14",18,"Wednesday",14,12,2021,239
"casual","2021-12-14",19,"Wednesday",14,12,2021,176
"casual","2021-12-14",20,"Wednesday",14,12,2021,105
"casual","2021-12-14",21,"Wednesday",14,12,2021,64
"casual","2021-12-14",22,"Wednesday",14,12,2021,72
"casual","2021-12-14",23,"Wednesday",14,12,2021,28
"casual","2021-12-15",0,"Thursday",15,12,2021,25
"casual","2021-12-15",1,"Thursday",15,12,2021,12
"casual","2021-12-15",2,"Thursday",15,12,2021,12
"casual","2021-12-15",3,"Thursday",15,12,2021,13
"casual","2021-12-15",4,"Thursday",15,12,2021,5
"casual","2021-12-15",5,"Thursday",15,12,2021,24
"casual","2021-12-15",6,"Thursday",15,12,2021,62
"casual","2021-12-15",7,"Thursday",15,12,2021,139
"casual","2021-12-15",8,"Thursday",15,12,2021,140
"casual","2021-12-15",9,"Thursday",15,12,2021,110
"casual","2021-12-15",10,"Thursday",15,12,2021,113
"casual","2021-12-15",11,"Thursday",15,12,2021,136
"casual","2021-12-15",12,"Thursday",15,12,2021,187
"casual","2021-12-15",13,"Thursday",15,12,2021,217
"casual","2021-12-15",14,"Thursday",15,12,2021,200
"casual","2021-12-15",15,"Thursday",15,12,2021,265
"casual","2021-12-15",16,"Thursday",15,12,2021,297
"casual","2021-12-15",17,"Thursday",15,12,2021,348
"casual","2021-12-15",18,"Thursday",15,12,2021,293
"casual","2021-12-15",19,"Thursday",15,12,2021,206
"casual","2021-12-15",20,"Thursday",15,12,2021,155
"casual","2021-12-15",21,"Thursday",15,12,2021,130
"casual","2021-12-15",22,"Thursday",15,12,2021,147
"casual","2021-12-15",23,"Thursday",15,12,2021,75
